BORO,the_geom,TYPE,OBJECTID,PROVIDER,NAME,LAT,LOCATION,LON,X,Y,LOCATION_T,REMARKS,CITY,SSID,SOURCEID,ACTIVATED,BOROCODE,BORONAME,NTACODE,NTANAME,COUNDIST,POSTCODE,BOROCD,CT2010,BOROCT2010,BIN,BBL,DOITT_ID,NAME,define var,,,BUENA,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,
QU,POINT (-73.94765700031446 40.75563599999595),Free,8651,Spot On Networks,QUEENS BRIDGE - JACOB A. RIIS Settlement House,40.75564,41-15 VERNON BLVD,-73.94766,998751.5973,214579.5965,Indoor AP - South Maintenance Area,Free - Up to 25 mbs Wi-Fi Service,Queens,Quensbridge Connected,NYC HOUSING AUTHORITY,05/01/2018 12:00:00 AM +0000,4,Queens,QN68,Queensbridge-Ravenswood-Long Island City,26,11101,401,25,4002500,4433410,4004650000,4756,QU8651,"var QU8651 = { info: '<strong>Free - Up to 25 mbs Wi-Fi Service located at Indoor AP - South Maintenance Area</strong><br>\""41-15 VERNON BLVD""<br>\<a href=https://www.google.com/maps/search/41-15-VERNON-BLVD+11101----"">Take me there!</a>', lat: 40.755636, long: -73.947657};","[QU8651.info, QU8651.lat, QU8651.long, 10],",10,https://www.google.com/maps/search/41-15-VERNON-BLVD+11101----,https://www.google.com/maps/search/41-15 VERNON BLVD+11101,,,,,,,,https://www.google.com/maps/search/41-15,VERNON,BLVD+11101,,,,,1,Take me there!,,,,,,,
QU,POINT (-73.94765700031446 40.75563599999595),Free,8652,Spot On Networks,QUEENS BRIDGE - JACOB A. RIIS Settlement House,40.75564,41-15 VERNON BLVD,-73.94766,998751.5973,214579.5965,Indoor AP - South Maintenance Area,Free - Up to 25 mbs Wi-Fi Service,Queens,Quensbridge Connected,NYC HOUSING AUTHORITY,05/01/2018 12:00:00 AM +0000,4,Queens,QN68,Queensbridge-Ravenswood-Long Island City,26,11101,401,25,4002500,4433410,4004650000,4757,QU8652,"var QU8652 = { info: '<strong>Free - Up to 25 mbs Wi-Fi Service located at Indoor AP - South Maintenance Area</strong><br>\""41-15 VERNON BLVD""<br>\<a href=https://www.google.com/maps/search/41-15-VERNON-BLVD+11101----"">Take me there!</a>', lat: 40.755636, long: -73.947657};","[QU8652.info, QU8652.lat, QU8652.long, 11],",11,https://www.google.com/maps/search/41-15-VERNON-BLVD+11101----,https://www.google.com/maps/search/41-15 VERNON BLVD+11101,,,,,,,,https://www.google.com/maps/search/41-15,VERNON,BLVD+11101,,,,,1,Take me there!,,,,,,,
MN,POINT (-73.98096598983595 40.7809421798304),Free,9309,LinkNYC - Citybridge,mn-07-121224,40.78094,215 WEST 75 STREET,-73.98097,989521.3582,223795.7179,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-012535,11/30/1899 12:00:00 AM +0000,1,Manhattan,MN12,Upper West Side,6,10023,107,163,1016300,1030839,1011677500,4812,MN9309,"var MN9309 = { info: '<strong>Tablet Internet -phone , Free 1 GB Wi-FI Service located at Outdoor Kiosk</strong><br>\""215 WEST 75 STREET""<br>\<a href=https://www.google.com/maps/search/215-WEST-75-STREET+10023---"">Take me there!</a>', lat: 40.780942, long: -73.980966};","[MN9309.info, MN9309.lat, MN9309.long, 12],",12,https://www.google.com/maps/search/215-WEST-75-STREET+10023---,https://www.google.com/maps/search/215 WEST 75 STREET+10023,,,,,,,,https://www.google.com/maps/search/215,WEST,75,STREET+10023,,,,1,Take me there!,,,,,,,
SI,POINT (-74.10267054028579 40.577390830011986),Free,9310,LinkNYC - Citybridge,si-02-146099,40.57739,2154 HYLAN BOULEVARD,-74.10267,955729.0778,149652.2037,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Staten Island,LinkNYC Free Wi-Fi,LINK-005418,07/19/2018 12:00:00 AM +0000,5,Staten Island,SI45,New Dorp-Midland Beach,50,10306,502,11202,5011202,5053558,5036910010,4813,SI9310,"var SI9310 = { info: '<strong>Tablet Internet -phone , Free 1 GB Wi-FI Service located at Outdoor Kiosk</strong><br>\""2154 HYLAN BOULEVARD""<br>\<a href=https://www.google.com/maps/search/2154-HYLAN-BOULEVARD+10306----"">Take me there!</a>', lat: 40.577391, long: -74.102671};","[SI9310.info, SI9310.lat, SI9310.long, 13],",13,https://www.google.com/maps/search/2154-HYLAN-BOULEVARD+10306----,https://www.google.com/maps/search/2154 HYLAN BOULEVARD+10306,,,,,,,,https://www.google.com/maps/search/2154,HYLAN,BOULEVARD+10306,,,,,1,Take me there!,,,,,,,
BX,POINT (-73.92333228032903 40.80829272983949),Free,9311,LinkNYC - Citybridge,bx-01-146086,40.80829,216 WILLIS AVENUE,-73.92333,1005473.954,233769.1864,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-020541,07/02/2018 12:00:00 AM +0000,2,Bronx,BX39,Mott Haven-Port Morris,8,10454,201,25,2002500,2118034,2022810010,4814,BX9311,"var BX9311 = { info: '<strong>Tablet Internet -phone , Free 1 GB Wi-FI Service located at Outdoor Kiosk</strong><br>\""216 WILLIS AVENUE""<br>\<a href=https://www.google.com/maps/search/216-WILLIS-AVENUE+10454----"">Take me there!</a>', lat: 40.808293, long: -73.923332};","[BX9311.info, BX9311.lat, BX9311.long, 14],",14,https://www.google.com/maps/search/216-WILLIS-AVENUE+10454----,https://www.google.com/maps/search/216 WILLIS AVENUE+10454,,,,,,,,https://www.google.com/maps/search/216,WILLIS,AVENUE+10454,,,,,1,Take me there!,,,,,,,
MN,POINT (-73.93892310008033 40.79965855014915),Free,9312,LinkNYC - Citybridge,mn-11-106683,40.79966,2172 3 AVENUE,-73.93892,1001160.136,230620.0581,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-006028,05/17/2018 12:00:00 AM +0000,1,Manhattan,MN34,East Harlem North,8,10035,111,182,1018200,1081471,1017670030,4815,MN9312,"var MN9312 = { info: '<strong>Tablet Internet -phone , Free 1 GB Wi-FI Service located at Outdoor Kiosk</strong><br>\""2172 3 AVENUE""<br>\<a href=https://www.google.com/maps/search/2172-3-AVENUE+10035----"">Take me there!</a>', lat: 40.799659, long: -73.938923};","[MN9312.info, MN9312.lat, MN9312.long, 15],",15,https://www.google.com/maps/search/2172-3-AVENUE+10035----,https://www.google.com/maps/search/2172 3 AVENUE+10035,,,,,,,,https://www.google.com/maps/search/2172,3,AVENUE+10035,,,,,1,Take me there!,,,,,,,
MN,POINT (-73.93860514009967 40.80009573038571),Free,9313,LinkNYC - Citybridge,mn-11-146076,40.80010,2182 3 AVENUE,-73.93861,1001248.057,230779.3996,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-018377,05/17/2018 12:00:00 AM +0000,1,Manhattan,MN34,East Harlem North,8,10035,111,196,1019600,1054369,1017680030,4816,MN9313,"var MN9313 = { info: '<strong>Tablet Internet -phone , Free 1 GB Wi-FI Service located at Outdoor Kiosk</strong><br>\""2182 3 AVENUE""<br>\<a href=https://www.google.com/maps/search/2182-3-AVENUE+10035----"">Take me there!</a>', lat: 40.800096, long: -73.938605};","[MN9313.info, MN9313.lat, MN9313.long, 16],",16,https://www.google.com/maps/search/2182-3-AVENUE+10035----,https://www.google.com/maps/search/2182 3 AVENUE+10035,,,,,,,,https://www.google.com/maps/search/2182,3,AVENUE+10035,,,,,1,Take me there!,,,,,,,
BK,POINT (-73.9471600002058 40.65743000036481),Limited Free,5,ALTICEUSA,Wingate Park,40.65743,HAWTHRONE ST 1 P/S/O/BROOKLYN AV,-73.94716,998910.8736,178800.2848,Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,11/30/1899 12:00:00 AM +0000,3,Brooklyn,BK60,Prospect Lefferts Gardens-Wingate,40,11203,309,810,3081000,3107446,3048200001,871,BK5,"var BK5 = { info: '<strong>3 free 10 min sessions located at Outdoor</strong><br>\""HAWTHRONE ST 1 P/S/O/BROOKLYN AV""<br>\<a href=https://www.google.com/maps/search/HAWTHRONE-ST-1-P/S/O/BROOKLYN-AV+11203--"">Take me there!</a>', lat: 40.65743, long: -73.94716};","[BK5.info, BK5.lat, BK5.long, 17],",17,https://www.google.com/maps/search/HAWTHRONE-ST-1-P/S/O/BROOKLYN-AV+11203--,https://www.google.com/maps/search/HAWTHRONE ST 1 P/S/O/BROOKLYN AV+11203,,,,,,,,https://www.google.com/maps/search/HAWTHRONE,ST,1,P/S/O/BROOKLYN,AV+11203,,,1,Take me there!,,,,,,,
MN,POINT (-74.00797200020884 40.72406499957339),Free,9314,LinkNYC - Citybridge,mn-02-122289,40.72407,221 HUDSON STREET,-74.00797,982040.3152,203073.0485,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-008199,11/30/1899 12:00:00 AM +0000,1,Manhattan,MN24,SoHo-TriBeCa-Civic Center-Little Italy,3,10013,102,37,1003700,1010318,1005940110,4817,MN9314,"var MN9314 = { info: '<strong>Tablet Internet -phone , Free 1 GB Wi-FI Service located at Outdoor Kiosk</strong><br>\""221 HUDSON STREET""<br>\<a href=https://www.google.com/maps/search/221-HUDSON-STREET+10013----"">Take me there!</a>', lat: 40.724065, long: -74.007972};","[MN9314.info, MN9314.lat, MN9314.long, 18],",18,https://www.google.com/maps/search/221-HUDSON-STREET+10013----,https://www.google.com/maps/search/221 HUDSON STREET+10013,,,,,,,,https://www.google.com/maps/search/221,HUDSON,STREET+10013,,,,,1,Take me there!,,,,,,,
SI,POINT (-74.10347900045457 40.57654099976831),Free,9315,LinkNYC - Citybridge,si-02-125465,40.57654,2212 HYLAN BOULEVARD,-74.10348,955504.1295,149342.854,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Staten Island,LinkNYC Free Wi-Fi,LINK-001749,07/19/2018 12:00:00 AM +0000,5,Staten Island,SI45,New Dorp-Midland Beach,50,10306,502,11202,5011202,5136036,5036920010,4818,SI9315,"var SI9315 = { info: '<strong>Tablet Internet -phone , Free 1 GB Wi-FI Service located at Outdoor Kiosk</strong><br>\""2212 HYLAN BOULEVARD""<br>\<a href=https://www.google.com/maps/search/2212-HYLAN-BOULEVARD+10306----"">Take me there!</a>', lat: 40.576541, long: -74.103479};","[SI9315.info, SI9315.lat, SI9315.long, 19],",19,https://www.google.com/maps/search/2212-HYLAN-BOULEVARD+10306----,https://www.google.com/maps/search/2212 HYLAN BOULEVARD+10306,,,,,,,,https://www.google.com/maps/search/2212,HYLAN,BOULEVARD+10306,,,,,1,Take me there!,,,,,,,
MN,POINT (-73.98023329994584 40.7458632901035),Free,9316,LinkNYC - Citybridge,mn-05-121484,40.74586,222 LEXINGTON AVENUE,-73.98023,989727.1563,211015.3683,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000653,06/12/2018 12:00:00 AM +0000,1,Manhattan,MN20,Murray Hill-Kips Bay,2,10016,105,72,1007200,1018492,1008890020,4819,MN9316,"var MN9316 = { info: '<strong>Tablet Internet -phone , Free 1 GB Wi-FI Service located at Outdoor Kiosk</strong><br>\""222 LEXINGTON AVENUE""<br>\<a href=https://www.google.com/maps/search/222-LEXINGTON-AVENUE+10016----"">Take me there!</a>', lat: 40.745863, long: -73.980233};","[MN9316.info, MN9316.lat, MN9316.long, 20],",20,https://www.google.com/maps/search/222-LEXINGTON-AVENUE+10016----,https://www.google.com/maps/search/222 LEXINGTON AVENUE+10016,,,,,,,,https://www.google.com/maps/search/222,LEXINGTON,AVENUE+10016,,,,,1,Take me there!,,,,,,,
MN,POINT (-73.98047639985059 40.78228509005275),Free,9317,LinkNYC - Citybridge,mn-07-137179,40.78229,222 WEST 77 STREET,-73.98048,989656.8382,224285.0154,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000962,11/30/1899 12:00:00 AM +0000,1,Manhattan,MN12,Upper West Side,6,10023,107,163,1016300,1030865,1011680040,4820,MN9317,"var MN9317 = { info: '<strong>Tablet Internet -phone , Free 1 GB Wi-FI Service located at Outdoor Kiosk</strong><br>\""222 WEST 77 STREET""<br>\<a href=https://www.google.com/maps/search/222-WEST-77-STREET+10023---"">Take me there!</a>', lat: 40.782285, long: -73.980476};","[MN9317.info, MN9317.lat, MN9317.long, 21],",21,https://www.google.com/maps/search/222-WEST-77-STREET+10023---,https://www.google.com/maps/search/222 WEST 77 STREET+10023,,,,,,,,https://www.google.com/maps/search/222,WEST,77,STREET+10023,,,,1,Take me there!,,,,,,,
MN,POINT (-73.93646797946244 40.80263696972306),Free,9318,LinkNYC - Citybridge,mn-11-120248,40.80264,2265 3 AVENUE,-73.93647,1001839.089,231705.684,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-005933,11/30/1899 12:00:00 AM +0000,1,Manhattan,MN34,East Harlem North,8,10035,111,194,1019400,1054630,1017880000,4821,MN9318,"var MN9318 = { info: '<strong>Tablet Internet -phone , Free 1 GB Wi-FI Service located at Outdoor Kiosk</strong><br>\""2265 3 AVENUE""<br>\<a href=https://www.google.com/maps/search/2265-3-AVENUE+10035----"">Take me there!</a>', lat: 40.802637, long: -73.936468};","[MN9318.info, MN9318.lat, MN9318.long, 22],",22,https://www.google.com/maps/search/2265-3-AVENUE+10035----,https://www.google.com/maps/search/2265 3 AVENUE+10035,,,,,,,,https://www.google.com/maps/search/2265,3,AVENUE+10035,,,,,1,Take me there!,,,,,,,
MN,POINT (-74.00622249013573 40.71693936996162),Free,9319,LinkNYC - Citybridge,mn-01-122911,40.71694,227 CHURCH STREET,-74.00622,982525.0612,200476.9233,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-013928,05/02/2018 12:00:00 AM +0000,1,Manhattan,MN24,SoHo-TriBeCa-Civic Center-Little Italy,1,10007,101,33,1003300,1085517,1001520010,4822,MN9319,"var MN9319 = { info: '<strong>Tablet Internet -phone , Free 1 GB Wi-FI Service located at Outdoor Kiosk</strong><br>\""227 CHURCH STREET""<br>\<a href=https://www.google.com/maps/search/227-CHURCH-STREET+10007----"">Take me there!</a>', lat: 40.716939, long: -74.006222};","[MN9319.info, MN9319.lat, MN9319.long, 23],",23,https://www.google.com/maps/search/227-CHURCH-STREET+10007----,https://www.google.com/maps/search/227 CHURCH STREET+10007,,,,,,,,https://www.google.com/maps/search/227,CHURCH,STREET+10007,,,,,1,Take me there!,,,,,,,
MN,POINT (-73.96997866956252 40.76621551040254),Free,9320,LinkNYC - Citybridge,mn-08-121861,40.76622,24 EAST 63 STREET,-73.96998,992566.0712,218431.1513,Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-012376,11/30/1899 12:00:00 AM +0000,1,Manhattan,MN40,Upper East Side-Carnegie Hill,4,10065,108,11401,1011401,1040908,1013770060,4823,MN9320,"var MN9320 = { info: '<strong>Tablet Internet -phone , Free 1 GB Wi-FI Service located at Outdoor Kiosk</strong><br>\""24 EAST 63 STREET""<br>\<a href=https://www.google.com/maps/search/24-EAST-63-STREET+10065---"">Take me there!</a>', lat: 40.766216, long: -73.969979};","[MN9320.info, MN9320.lat, MN9320.long, 24],",24,https://www.google.com/maps/search/24-EAST-63-STREET+10065---,https://www.google.com/maps/search/24 EAST 63 STREET+10065,,,,,,,,https://www.google.com/maps/search/24,EAST,63,STREET+10065,,,,1,Take me there!,,,,,,,
